9,1,2016
8,2,2016
8,3,2016
7,4,2016
6,5,2016
5,6,2016
4,7,2016
2,8,2016
1,9,2016
1,10,2016
30,10,2016
30,11,2016
29,12,2016
27,1,2017
26,2,2017
27,3,2017
26,4,2017
25,5,2017
23,6,2017
23,7,2017
21,8,2017
20,9,2017
19,10,2017
18,11,2017
18,12,2017
17,1,2018
15,2,2018
17,3,2018
15,4,2018
15,5,2018
13,6,2018
12,7,2018
11,8,2018
9,9,2018
9,10,2018
7,11,2018
7,12,2018
5,1,2019
4,2,2019
6,3,2019
5,4,2019
4,5,2019
3,6,2019
2,7,2019
1,8,2019
30,8,2019
28,9,2019
28,10,2019
26,11,2019
26,12,2019
24,1,2020
23,2,2020
24,3,2020
22,4,2020
22,5,2020
21,6,2020
20,7,2020
18,8,2020
17,9,2020
16,10,2020
15,11,2020
14,12,2020
13,1,2021
11,2,2021
13,3,2021
11,4,2021
11,5,2021
10,6,2021
9,7,2021
8,8,2021
6,9,2021
6,10,2021
4,11,2021
4,12,2021
2,1,2022
1,2,2022
2,3,2022
1,4,2022
30,4,2022
30,5,2022
28,6,2022
28,7,2022
27,8,2022
25,9,2022
25,10,2022
23,11,2022
23,12,2022
21,1,2023
20,2,2023
21,3,2023
20,4,2023
19,5,2023
18,6,2023
17,7,2023
16,8,2023
14,9,2023
14,10,2023
13,11,2023
12,12,2023
11,1,2024
9,2,2024
10,3,2024
8,4,2024
8,5,2024
6,6,2024
5,7,2024
4,8,2024
2,9,2024
2,10,2024
1,11,2024
1,12,2024
29,1,2025
27,2,2025
29,3,2025
27,4,2025
27,5,2025
25,6,2025
24,7,2025
23,8,2025
21,9,2025
21,10,2025
20,11,2025
19,12,2025
17,1,1999
16,2,1999
17,3,1999
16,4,1999
15,5,1999
13,6,1999
12,7,1999
11,8,1999
9,9,1999
9,10,1999
8,11,1999
7,12,1999
6,1,2000
5,2,2000
6,3,2000
4,4,2000
4,5,2000
2,6,2000
1,7,2000
30,7,2000
29,8,2000
27,9,2000
27,10,2000
25,11,2000
25,12,2000
24,1,2001
23,2,2001
24,3,2001
23,4,2001
22,5,2001
21,6,2001
20,7,2001
18,8,2001
17,9,2001
16,10,2001
15,11,2001
14,12,2001
13,1,2002
12,2,2002
13,3,2002
12,4,2002
12,5,2002
10,6,2002
10,7,2002
8,8,2002
7,9,2002
6,10,2002
4,11,2002
4,12,2002
2,1,2003
1,2,2003
2,3,2003
1,4,2003
1,5,2003
31,5,2003
29,6,2003
29,7,2003
27,8,2003
26,9,2003
25,10,2003
23,11,2003
23,12,2003
21,1,2004
20,2,2004
20,3,2004
19,4,2004
19,5,2004
17,6,2004
17,7,2004
15,8,2004
14,9,2004
13,10,2004
12,11,2004
11,12,2004
10,1,2005
8,2,2005
10,3,2005
8,4,2005
8,5,2005
6,6,2005
6,7,2005
5,8,2005
3,9,2005
3,10,2005
1,11,2005
1,12,2005
31,12,2005
29,1,2006
27,2,2006
29,3,2006
27,4,2006
27,5,2006
25,6,2006
25,7,2006
23,8,2006
22,9,2006
22,10,2006
20,11,2006
20,12,2006
19,1,2007
17,2,2007
18,3,2007
17,4,2007
16,5,2007
15,6,2007
14,7,2007
12,8,2007
11,9,2007
11,10,2007
9,11,2007
9,12,2007
8,1,2008
7,2,2008
7,3,2008
6,4,2008
5,5,2008
3,6,2008
2,7,2008
1,8,2008
30,8,2008
29,9,2008
28,10,2008
27,11,2008
27,12,2008
26,1,2009
24,2,2009
26,3,2009
25,4,2009
24,5,2009
22,6,2009
21,7,2009
20,8,2009
18,9,2009
18,10,2009
16,11,2009
16,12,2009
15,1,2010
13,2,2010
15,3,2010
14,4,2010
13,5,2010
12,6,2010
11,7,2010
10,8,2010
8,9,2010
7,10,2010
6,11,2010
5,12,2010
4,1,2011
2,2,2011
4,3,2011
3,4,2011
3,5,2011
1,6,2011
1,7,2011
30,7,2011
29,8,2011
27,9,2011
26,10,2011
25,11,2011
24,12,2011
23,1,2012
21,2,2012
22,3,2012
21,4,2012
20,5,2012
19,6,2012
19,7,2012
17,8,2012
15,9,2012
15,10,2012
13,11,2012
13,12,2012
11,1,2013
10,2,2013
11,3,2013
10,4,2013
9,5,2013
8,6,2013
8,7,2013
6,8,2013
5,9,2013
4,10,2013
3,11,2013
2,12,2013
1,1,2014
30,1,2014
1,3,2014
30,3,2014
29,4,2014
28,5,2014
27,6,2014
26,7,2014
25,8,2014
24,9,2014
23,10,2014
22,11,2014
21,12,2014
20,1,2015
18,2,2015
20,3,2015
18,4,2015
18,5,2015
16,6,2015
15,7,2015
14,8,2015
13,9,2015
12,10,2015
11,11,2015
11,12,2015
30,9,2016
29,11,2016
16,1,2018
30,12,2024
18,1,2026
17,2,2026
18,3,2026
17,4,2026
16,5,2026
14,6,2026
14,7,2026
12,8,2026
11,9,2026
10,10,2026
9,11,2026
8,12,2026
7,1,2027
6,2,2027
8,3,2027
6,4,2027
6,5,2027
4,6,2027
4,7,2027
2,8,2027
31,8,2027
29,9,2027
29,10,2027
28,11,2027
27,12,2027
26,1,2028
25,2,2028
26,3,2028
24,4,2028
24,5,2028
22,6,2028
22,7,2028
20,8,2028
18,9,2028
17,10,2028
16,11,2028
15,12,2028
14,1,2029
13,2,2029
15,3,2029
13,4,2029
13,5,2029
12,6,2029
11,7,2029
9,8,2029
8,9,2029
7,10,2029
6,11,2029
5,12,2029
3,1,2030
2,2,2030
4,3,2030
2,4,2030
2,5,2030
1,6,2030
30,6,2030
30,7,2030
28,8,2030
27,9,2030
26,10,2030
25,11,2030
24,12,2030
